gender,category,grade_10,grade_12,graduation_score,graduation_type,admission_test_score,work_exp_months,IIM_A,IIM_B,IIM_C,IIM_I,IIM_K,IIM_L
Male,NC_OBC,81.8,92,60,Engineer,85.22,10,0,0,0,0,1,0
Male,General,81.7,85.2,67.9,Engineer,99.07,0,0,0,0,0,0,1
Male,General,95,90.4,75,Engineer,96.04,15,0,0,0,0,0,0
Male,General,95.3,95.7,68.8,Engineer,99.39,28,0,1,1,1,1,1
Male,General,92.2,78.2,86.3,Engineer,99.34,0,0,0,0,0,0,0
Male,General,93.6,83.4,72.2,Engineer,95.91,5,0,0,0,0,0,0
Male,General,92.5,89.7,90.7,Engineer,99.78,13,1,1,1,1,1,1
Male,SC,92,78.2,55,Engineer,68.75,0,0,0,0,1,0,0
Male,NC_OBC,91.2,93.6,73.7,Engineer,94.23,25,0,0,0,1,1,1
Female,General,88.6,76,77.2,Engineer,82.21,51,0,0,0,0,0,0
Male,General,93.4,84.4,70.8,Engineer,99.48,24,0,0,0,0,0,0
Female,General,87.3,83.3,85.3,Engineer,97.95,24,0,0,0,1,1,0
Male,EWS,93.4,88.2,86,Engineer,98.79,13,0,0,1,0,1,0
Male,SC,87.6,81.9,50.9,Engineer,87.88,0,0,0,0,0,0,0
Female,EWS,92.8,96.4,74.3,Non-Engineer,95.48,0,0,1,0,0,0,0
Female,General,93.1,93.4,91.6,Engineer,99.13,12,0,1,1,0,1,1
Male,EWS,79,83.5,87.4,Engineer,94.12,15,0,0,0,0,0,1
Male,General,87.4,86.2,70.1,Engineer,96.55,13,0,0,0,0,0,0
Male,General,93.3,93.7,84.6,Engineer,98.82,7,0,0,0,0,0,0
Female,General,97,92,78,Non-Engineer,98.29,36,0,0,0,1,0,0
Male,General,89.7,95.4,75.8,Non-Engineer,97.32,3,0,0,0,0,0,0
Female,General,93.1,90.2,77,Non-Engineer,92.41,26,0,0,0,0,0,0
Male,NC_OBC,91.2,80.4,93.7,Engineer,92.15,14,0,0,0,0,0,0
Male,General,88.7,90.8,95.9,Engineer,97.36,25,0,0,0,0,0,1
Male,General,93.8,98.1,76.2,Engineer,82.23,27,0,0,0,0,0,0
Male,General,93.3,91,60.3,Non-Engineer,98.04,0,0,0,0,0,0,0
Male,General,95,94.4,73.5,Engineer,97.45,27,0,0,0,0,0,0
Female,General,93.2,91.7,81.3,Non-Engineer,99.26,9,0,1,0,1,1,1
Female,General,93,91.2,71.8,Non-Engineer,89,17,0,0,0,0,0,0
Male,General,86.7,91.4,53.6,Non-Engineer,76.69,12,0,0,0,0,0,0
Male,General,93.4,90.2,84.5,Engineer,98.8,33,0,0,0,0,0,0
Male,General,93.1,91.9,74.8,Engineer,94.22,17,0,0,0,0,0,0
Male,EWS,88.5,68.8,77.3,Engineer,81.31,0,0,0,0,0,0,0
Male,General,89.3,80,91.5,Non-Engineer,93.55,0,0,0,0,0,0,0
Male,General,95,95.2,85.6,Engineer,99.01,0,0,0,0,1,0,0
Male,General,89.5,85.7,84.2,Engineer,99.4,13,0,0,0,1,0,1
Male,General,85.5,85.4,84.9,Engineer,95.95,12,0,0,0,0,0,0
Male,General,94.2,80,73.4,Engineer,90.61,10,0,0,0,0,0,0
Female,SC,77.8,81.6,80,Non-Engineer,79.56,44,0,0,0,0,1,1
Male,General,86.8,89.1,90.8,Non-Engineer,90.39,0,0,0,0,0,0,0
Male,General,88,75,70,Engineer,88.59,12,0,0,0,0,0,0
Male,General,93.4,90.2,77.7,Engineer,97.91,9,0,1,0,0,1,0
Male,General,93.4,82,91.9,Engineer,98.23,0,0,1,0,0,0,1
Male,NC_OBC,95,62.8,70.2,Non-Engineer,95.33,0,0,0,0,0,1,1
Male,General,89.3,82.8,77.4,Non-Engineer,93.26,19,0,0,0,0,0,0
Male,General,83.6,88.6,59.5,Engineer,98.44,0,0,0,0,0,0,0
Female,General,88.7,85.7,66.6,Engineer,98.88,13,0,0,0,0,1,0
Male,NC_OBC,91.8,90.8,86,Engineer,88.69,21,0,0,0,0,0,0
Male,General,88.6,83.5,74.4,Engineer,89.34,24,0,0,0,0,0,0
Male,NC_OBC,94.3,80.2,73,Engineer,96.95,50,0,1,0,1,0,1
Male,General,97,88,71.2,Engineer,98.77,12,0,0,0,1,0,0
Male,General,83.5,90.4,64.1,Engineer,88.6,38,0,0,0,0,0,0
Male,General,95,93.2,84.4,Engineer,95.03,26,0,0,0,0,0,0
Male,General,79.8,84.8,67,Engineer,93.1,24,0,0,0,0,0,0
Male,NC_OBC,96,76,70,Non-Engineer,76.46,0,0,0,0,0,0,0
Female,EWS,89,89,76,Non-Engineer,93,30,0,0,0,0,1,1
Male,General,98,98.4,89.9,Engineer,97.79,7,0,0,0,0,0,0
Male,General,93.1,80.2,83.2,Engineer,95.35,7,0,0,0,0,0,0
Female,General,90.7,73.7,72.7,Non-Engineer,78.89,0,0,0,0,0,0,0
Male,General,93.4,86.5,74.9,Engineer,98.66,25,0,0,0,0,0,1
Female,General,95,95.2,63.6,Non-Engineer,92.44,16,0,0,0,0,1,0
Male,General,90.3,87.8,75.2,Engineer,91.77,14,0,0,0,0,0,0
Female,ST,93.1,94.6,73,Engineer,86.81,13,0,1,0,1,0,0
Male,General,68.2,62.4,63.5,Engineer,97.24,48,0,0,0,0,0,0
Male,General,92.6,86.2,73.6,Engineer,99.45,25,0,1,1,1,1,1
Female,General,95,89.4,92.1,Engineer,93.12,0,0,0,0,0,0,0
Male,General,96,93,73,Engineer,100,0,1,1,1,1,1,1
Male,EWS,89.4,85,76,Engineer,97.77,0,0,1,0,0,0,0
Female,General,97.2,85.5,73.9,Engineer,88.44,25,0,0,0,0,0,0
Female,General,95.4,94.2,78.7,Engineer,98.13,0,0,0,0,1,0,0
Male,General,96,90.2,94,Engineer,99.93,14,1,0,1,0,0,0
Female,General,95,94.3,89,Non-Engineer,98.93,0,1,0,0,0,1,0
Male,General,91.3,91,73.1,Engineer,89.8,27,0,0,0,0,0,0
Male,NC_OBC,81.7,66.7,71.4,Engineer,78.07,20,0,0,0,0,0,0
Male,SC,95,88,85.6,Engineer,91.52,0,1,1,1,1,0,0
Male,General,94.7,94.5,87.4,Engineer,98.2,0,0,0,0,1,0,0
Male,NC_OBC,87.4,95.7,79.4,Engineer,88.4,41,0,0,0,0,0,1
Female,EWS,95,84.4,79.8,Engineer,88.37,11,0,1,0,0,0,0
Male,NC_OBC,91.2,97.6,74.8,Engineer,89.9,23,0,0,0,0,0,1
Male,General,95,93.4,85.9,Engineer,99.42,25,1,1,1,1,1,1
Male,General,95,93.4,95,Engineer,99.82,0,0,1,1,0,0,0
Female,General,98.8,90.9,85.6,Engineer,94.01,18,0,0,0,0,0,0
Female,General,95,94,88.4,Engineer,97.42,24,0,1,0,1,1,1
Male,EWS,78,74,76,Engineer,99.18,0,0,0,0,0,0,1
Male,General,85.3,82.4,71.7,Engineer,99.69,25,0,0,1,0,0,0
Male,SC,88.6,90.6,83.6,Engineer,95.15,17,1,1,0,1,0,0
Female,NC_OBC,87.4,87.8,81,Engineer,94.71,28,0,1,0,0,0,1
Male,General,91.2,85.2,87.6,Engineer,97.71,12,0,0,0,1,0,1
Female,General,93.2,97.7,84.1,Engineer,98.46,25,0,1,0,0,1,0
Male,NC_OBC,98,98.4,82.2,Engineer,99.12,13,1,1,1,0,1,1
Female,General,88,91.6,75.5,Engineer,58.21,0,0,0,0,0,0,0
Male,General,93.1,84.6,82.6,Engineer,83.95,37,0,0,0,0,0,0
Female,General,87.2,95,93.7,Engineer,96.77,13,0,0,0,1,1,0
Male,General,93.1,92.6,74.8,Engineer,96.06,33,0,0,0,0,0,0
Female,General,95,94.2,84.1,Engineer,95.33,23,0,0,0,0,1,0
Male,General,91.2,96,76.8,Engineer,95.56,24,0,0,0,0,0,0
Female,General,93.1,94.8,84.6,Engineer,94.33,25,0,0,0,0,1,0
Male,General,89.5,90.6,78.6,Engineer,71.49,13,0,0,0,0,0,0
Female,General,85.3,93.8,66.8,Non-Engineer,65.49,26,0,0,0,0,0,0
Male,General,87.4,75.2,61.9,Non-Engineer,75.03,4,0,0,0,0,0,0
Female,General,95,87.3,80,Engineer,92.33,26,0,0,0,0,0,0
Male,General,81,79,76,Engineer,92.86,14,0,1,0,0,0,0
Female,General,89.6,86.5,80.1,Engineer,70.98,21,0,0,0,0,0,0
Male,General,93.2,89.6,81,Engineer,95.85,32,0,0,0,0,0,0
Male,General,91.2,93.4,75.8,Non-Engineer,97.48,23,0,0,0,0,1,1
Male,General,95,93.6,75.7,Engineer,99.98,0,1,1,1,1,1,1
Male,ST,83.6,79.8,73.7,Engineer,87.26,0,1,0,0,0,0,0
Female,General,95,94.2,83,Engineer,99.75,24,0,1,1,0,1,0
Female,NC_OBC,91.3,90.8,68.3,Non-Engineer,90.68,0,0,0,0,1,1,1
Female,General,95,96,88.5,Engineer,97.18,0,0,0,0,0,1,0
Male,General,95,96.2,96.7,Engineer,99.11,0,0,1,0,0,0,0
Male,General,87.4,93.6,77.6,Engineer,97.14,0,0,0,0,0,0,0
Male,General,93.7,95.6,75.1,Engineer,96.52,32,0,0,0,0,0,0
Female,General,91,73.6,84.4,Non-Engineer,79.64,0,0,0,0,0,0,0
Female,General,93.1,89.6,68.8,Engineer,96.37,1,0,0,0,0,0,0
Male,General,89.3,89,69.3,Engineer,99.76,0,0,0,1,0,0,1
Male,SC,74.3,57.5,63,Engineer,87.42,10,0,0,0,0,0,0
Male,NC_OBC,92,93.1,67.8,Engineer,98.38,23,0,0,1,0,0,0
Female,General,87.4,88.2,73.9,Engineer,98.58,20,0,0,0,0,1,0
Female,General,95,90.4,78.8,Engineer,96.72,22,0,0,0,1,0,0
Female,NC_OBC,91.2,95.8,75.2,Engineer,87.36,24,0,1,0,1,0,1
Male,General,84,84.5,74,Engineer,78.11,14,0,0,0,0,0,0
Male,General,89.3,79.6,88.2,Engineer,88.66,37,0,0,0,0,0,0
Female,General,87.6,78.6,80.9,Engineer,94.38,26,0,0,0,0,0,0
Female,General,93.1,93.4,83.6,Engineer,82.28,33,0,0,0,0,0,0
Male,General,87.8,79.6,93,Engineer,99.58,36,0,1,0,0,0,1
Male,General,93,93.2,84.7,Engineer,94.04,0,0,0,0,0,0,0
Male,General,90.2,86,73.5,Engineer,75.87,26,0,0,0,0,0,0
Male,NC_OBC,67.3,69,62.8,Non-Engineer,97.14,26,0,0,0,0,1,1
Male,General,90.8,95,79.4,Engineer,99.93,0,1,0,1,1,1,1
Male,General,91,81.5,65.8,Engineer,96.74,0,0,0,0,0,0,0
Male,General,68.4,77.8,75.6,Non-Engineer,95.12,0,0,0,0,0,0,0
Female,General,95,93.6,90,Engineer,96.75,25,0,0,0,0,0,0
Male,General,87.4,89.6,67.3,Engineer,66.11,12,0,0,0,0,0,0
Male,General,93.1,92.8,70.6,Engineer,98.6,13,0,0,0,0,0,0
Male,General,87.4,94.7,76,Engineer,94.95,0,0,0,0,0,0,0
Male,NC_OBC,87.4,91.4,80,Engineer,96.38,0,0,0,0,0,0,0
Male,General,91.7,91.3,76,Engineer,98.5,25,0,0,0,0,1,0
Male,EWS,91.8,86.2,77.2,Engineer,97.67,0,0,0,0,1,0,0
Male,General,88.4,84.3,75.2,Engineer,94.02,37,0,0,0,0,0,0
Male,General,95,92.6,73.5,Engineer,95.04,14,0,0,0,0,0,0
Male,General,83.6,77.4,83.3,Engineer,75.49,25,0,0,0,0,0,0
Female,General,95,92.5,84.7,Non-Engineer,97.4,5,0,0,0,1,1,0
Female,General,89.3,90.2,80,Engineer,95.43,28,0,0,0,0,0,0
Male,General,79.8,81.8,88.5,Engineer,99.81,24,0,0,1,0,0,1
Female,General,91,94.2,79.1,Non-Engineer,94.78,12,0,0,0,1,0,1
Male,General,93.2,94.6,84.6,Engineer,84.51,13,0,0,0,0,0,0
Male,General,95,92.2,77.1,Non-Engineer,91.14,0,0,0,0,0,0,0
Male,General,95,93.4,85.3,Engineer,99.1,13,0,0,0,0,0,0
Female,General,85.5,94.6,64.1,Non-Engineer,90.25,26,0,0,0,0,0,0
Male,General,89.4,92.4,89.3,Engineer,97.84,25,0,0,0,0,0,0
Male,ST,93,88.6,68.7,Engineer,80.86,0,0,0,0,1,1,0
Male,General,93.7,95.2,89.1,Engineer,97.9,23,0,0,0,0,0,0
Male,EWS,85.9,85.6,78.6,Engineer,96.59,42,0,1,0,1,1,1
Male,EWS,93.5,96,76.3,Engineer,97.57,0,0,0,0,1,0,1
Male,General,93,91.6,77.4,Engineer,98.97,0,0,0,0,0,0,0
Male,General,77,72,75,Non-Engineer,97.75,0,0,0,0,0,0,0
Male,General,92.7,90.7,77.8,Non-Engineer,88.16,0,1,0,0,0,1,1
Male,General,84.6,70,83.4,Engineer,91.11,33,0,0,0,0,0,0
Male,General,86,83.4,75.6,Non-Engineer,97.36,0,0,0,0,0,0,0
Male,General,91.5,86.9,72.4,Engineer,96.34,0,0,0,0,0,0,0
Male,General,88.7,80.8,91.4,Engineer,97.67,0,0,0,0,0,0,0
Male,NC_OBC,91.2,83.4,67.1,Engineer,92.85,0,1,0,0,0,0,1
Female,General,92.2,91.7,91.8,Non-Engineer,95.94,0,0,0,0,1,0,1
Male,NC_OBC,95,83.6,53.4,Engineer,96.13,1,0,0,0,1,0,0
Male,General,95,97.2,73.4,Engineer,99.55,13,0,0,0,0,0,0
Male,NC_OBC,91.2,81.4,73.7,Engineer,83.46,22,0,0,0,0,0,0
Male,EWS,95,89.8,85.1,Engineer,95.35,25,0,1,0,1,1,1
Male,General,98.4,96.2,89.5,Engineer,99.11,10,0,0,0,0,0,0
Male,SC,95,93,76.3,Engineer,96.04,26,1,1,1,1,1,1
Male,NC_OBC,95.4,96.5,86.9,Engineer,95.82,24,1,1,0,0,1,0
Female,SC,79.2,76.6,64,Non-Engineer,75.92,0,0,0,0,0,0,0
Female,EWS,98.9,85.4,72.4,Engineer,99.65,23,0,1,1,1,0,1
Male,General,93.2,97.6,79.7,Non-Engineer,90.43,0,0,0,0,0,0,0
Male,General,95,89.6,74.7,Engineer,99.19,0,0,0,0,0,0,0
Male,General,95,88,75,Engineer,93.01,24,0,0,0,0,0,0
Male,NC_OBC,98,97.8,73.8,Engineer,97.77,25,0,0,1,0,1,0
Male,General,87.8,86.3,80.1,Engineer,92,0,0,0,0,0,0,0
Male,NC_OBC,95,90.7,85.8,Engineer,99.99,0,1,1,1,1,1,1
Male,NC_OBC,92.8,95,90.4,Engineer,96.35,0,1,1,0,1,0,1
Male,General,95,88.4,86.1,Engineer,98.68,7,0,0,0,0,0,0
Male,General,93.4,92.3,76.9,Engineer,98.59,13,0,0,0,0,0,0
Male,General,95,82.2,78,Non-Engineer,96.39,0,0,0,0,0,0,0
Male,SC,96.8,95.9,82.3,Engineer,87.65,23,1,1,0,1,1,0
Female,General,73.5,67.1,78.2,Engineer,39.02,13,0,0,0,0,0,0
Male,SC,91.8,88.6,82.7,Engineer,83.41,32,0,1,0,1,0,1
Male,EWS,95,95,81.4,Engineer,99.33,15,0,1,0,0,1,0
Male,General,95,94,81,Engineer,99.54,22,0,1,0,1,0,1
Male,General,95,93.4,79,Engineer,95.01,0,0,0,0,0,0,0
Male,SC,89.4,83.1,68.7,Engineer,61.35,20,0,0,0,0,0,0
Female,General,95,95.8,79.6,Engineer,94.29,13,0,0,0,1,0,0
Male,General,95,90,91.1,Engineer,99.87,0,1,1,1,1,1,0
Female,General,95,91.8,81.8,Engineer,98.89,0,0,0,1,1,1,0
Female,General,94.3,88.2,79.5,Engineer,94.27,0,0,0,0,1,0,0
Male,SC,87.9,84,74.9,Engineer,93.35,24,0,1,1,1,1,1
Female,General,88,83,62,Non-Engineer,33.04,4,0,0,0,0,0,0
Female,General,91.8,95.8,79.9,Non-Engineer,96.42,2,0,0,0,1,1,1
Male,General,95,96.6,92,Engineer,99.54,0,0,0,0,1,0,1
Female,General,92.7,95,78.6,Engineer,96.7,0,0,0,0,1,1,1
Male,EWS,95,93.2,77.8,Engineer,97.72,26,0,1,0,0,0,0
Male,General,91.2,91.8,78.7,Engineer,99.91,0,1,0,1,0,0,0
Female,General,95,94.2,76.1,Engineer,99.96,0,1,0,1,1,1,0
Male,General,95,94.8,90.9,Engineer,98.37,13,0,0,0,1,0,0
Male,General,90,96.3,65.5,Engineer,99.05,26,0,0,0,0,0,0
Male,General,95.4,95.3,91.1,Engineer,93.7,13,0,0,0,0,0,0
Male,NC_OBC,94.4,91.6,80.7,Engineer,92.26,0,0,0,0,0,0,0
Female,NC_OBC,95,95.2,80,Engineer,94.12,11,0,1,0,0,0,0
Male,General,95,94,86,Engineer,98.95,26,0,1,0,0,0,0
Male,General,95,96.4,82.3,Engineer,88.55,25,0,0,0,0,0,0
Female,General,85.5,93.4,87.3,Non-Engineer,96.14,0,0,0,0,0,0,0
Female,SC,94.6,94.4,81,Engineer,83.67,23,1,1,0,1,1,1
Female,General,95.4,92,77.2,Engineer,91.9,14,0,0,0,1,1,0
Male,General,95,92.8,81.1,Engineer,97.83,13,0,0,0,0,0,0
Male,General,93.1,89,76.6,Engineer,94.12,0,0,0,0,0,0,0
Male,General,95,92.3,89,Engineer,95.47,0,0,0,0,0,0,0
Female,SC,94.6,93.7,76,Engineer,80.16,13,0,1,0,0,0,0
Male,General,66.6,61.8,63.4,Non-Engineer,80.22,0,0,0,0,0,0,0
Male,General,83,84.8,65,Non-Engineer,78.78,0,0,0,0,0,0,0
Male,General,82.4,80.9,53.1,Engineer,71.19,16,0,0,0,0,0,0
Male,General,90.4,83.4,70.5,Non-Engineer,98.15,26,0,0,0,0,1,1
Male,General,95,97.2,91.9,Engineer,99.26,13,0,1,0,1,0,0
Male,SC,81.7,92.4,82.8,Engineer,90.24,10,0,0,1,1,1,0
Male,General,90,89.3,84.6,Engineer,96.52,31,0,0,0,0,0,0
Male,General,95,79.4,81.1,Engineer,99.88,0,0,0,1,0,0,0
Female,General,83.7,86.8,82.7,Engineer,94.89,47,0,0,0,0,0,0
Female,General,95.1,88.4,87.8,Engineer,96.84,22,0,0,0,1,1,0
Male,General,91.2,89.8,75,Engineer,93.86,13,0,0,0,0,0,0
Male,General,93.2,84.8,74.8,Engineer,99.95,20,1,1,1,1,0,1
Male,General,93.4,86.8,69.1,Engineer,81.87,24,0,0,0,0,0,0
Female,General,81.6,71.4,56,Non-Engineer,41.86,0,0,0,0,0,0,0
Male,General,90.3,95,76.7,Engineer,97.95,24,0,0,0,0,0,1
Male,General,83.6,79.4,77,Engineer,90.25,0,0,0,0,0,0,0
Male,General,89.1,90,79.9,Engineer,98.52,26,0,0,0,0,0,0
Male,NC_OBC,91.3,79.5,82.3,Engineer,99.02,0,0,0,1,1,1,1
Male,EWS,91,88.6,76.4,Engineer,99.18,0,0,1,1,1,1,1
Female,General,100,94.6,75.6,Non-Engineer,93.35,22,0,0,0,0,1,0
Male,SC,80.8,79.8,53.9,Engineer,95.01,0,0,1,0,0,0,1
Male,General,92.5,93.1,87.7,Engineer,99.73,25,1,1,0,1,0,0
Male,General,96.8,85.7,100,Engineer,99.98,35,1,0,0,0,0,0
Female,General,81.7,84.7,89,Engineer,93.63,25,0,0,0,0,0,0
Male,General,87,86.8,73.7,Engineer,92.58,4,0,0,0,0,0,0
Male,General,89.3,94.9,88.4,Engineer,93.41,7,0,0,0,0,0,0
Male,General,93.1,86.2,70.7,Non-Engineer,96.87,0,0,0,0,0,0,0
Male,General,93.1,91.2,82.1,Engineer,98.68,0,0,0,0,0,0,0
Male,General,87.2,77.1,61.2,Non-Engineer,76.39,13,0,0,0,0,0,0
Female,EWS,86.3,74.9,73.6,Non-Engineer,79.61,0,0,0,0,0,0,0
Male,General,78,78,70,Engineer,99.68,0,0,0,0,0,0,0
Male,ST,95,92.7,75.9,Engineer,64.78,12,0,0,0,1,0,0
Male,NC_OBC,95,95.2,84,Non-Engineer,96.63,0,0,1,0,0,0,1
Male,General,95,92.4,72.1,Engineer,99.72,0,0,0,0,1,0,0
Female,NC_OBC,95,88,68.4,Engineer,81.89,0,0,0,0,0,0,0
Female,General,95,95.2,76.9,Non-Engineer,99.21,0,0,0,1,1,1,0
Male,General,90.8,83.2,71.8,Engineer,98.84,0,0,0,0,0,0,0
Female,General,95,92.6,87.2,Engineer,95.75,28,0,0,0,0,0,0
Male,SC,83.6,91,79,Non-Engineer,88.71,0,0,0,1,0,0,0
Female,General,89.7,93.4,79.7,Engineer,97.36,67,0,0,0,0,1,1
Female,General,95,89.4,90.3,Engineer,52.9,24,0,0,0,0,0,0
Female,General,78.9,85.5,63,Non-Engineer,45.35,20,0,0,0,0,0,0
Male,General,100,97.4,60.6,Non-Engineer,95.78,9,1,0,0,0,0,0
Male,General,85.5,75.3,76.8,Engineer,99.58,0,0,0,0,0,0,0
Male,General,95,97.6,70,Non-Engineer,99.78,14,0,0,1,0,0,1
Female,General,92,87.5,80.1,Engineer,91.9,25,0,0,0,0,1,0
Male,General,100,98.4,76.2,Engineer,99.93,0,1,0,1,0,1,1
Female,General,90.2,90.8,89.3,Non-Engineer,96.22,0,0,0,0,1,0,1
Male,General,95,94.2,94.6,Engineer,99.75,13,1,1,1,0,0,0
Male,General,95,91.4,53,Engineer,97.33,0,0,0,0,0,0,0
Male,General,95,96.4,86.8,Engineer,99.27,25,0,1,0,1,0,1
Female,General,85.5,93,80.5,Non-Engineer,93.67,0,0,0,0,1,0,0
Male,General,83.6,85.8,68.4,Non-Engineer,96.72,0,1,0,0,0,0,1
Female,General,92.5,80.8,88.7,Engineer,71.81,12,0,0,0,0,0,0
Male,ST,89.3,79.6,65.7,Engineer,41.16,8,0,0,0,0,0,0
Female,ST,88.2,75,69,Engineer,69.85,0,0,1,1,1,1,1
Male,General,95,91.2,87.7,Engineer,99.7,24,1,1,0,1,0,1
Male,General,94.7,85.1,72.9,Engineer,79.43,38,0,0,0,0,0,0
Male,General,85.3,83.2,72.8,Engineer,96.6,25,0,0,0,0,0,0
Male,General,95,93.6,87.6,Non-Engineer,96.62,13,1,1,0,0,1,0
Male,General,95,94.4,86.7,Engineer,98.69,12,0,0,0,0,0,0
Male,General,93,94.8,83.2,Engineer,99.94,13,1,1,0,1,1,1
Male,EWS,85.8,74.3,72.4,Engineer,96.79,11,0,0,0,0,1,1
Male,NC_OBC,95.2,90.2,84.8,Engineer,94.35,14,0,0,0,0,1,0
Male,General,97.8,92.9,82.6,Engineer,99.63,13,0,1,0,1,1,0
Male,General,93.1,75.5,70.3,Engineer,85.25,0,0,0,0,0,0,0
Male,NC_OBC,94.8,90.3,75.9,Engineer,92.73,13,0,0,0,1,0,0
Female,General,97.5,94,76.1,Non-Engineer,95.42,0,0,0,0,0,1,0
Male,General,96,93,77,Engineer,96.07,0,0,0,0,0,0,0
Male,NC_OBC,89.7,94.2,83.4,Engineer,94.79,13,0,0,0,1,1,1
Male,General,96.9,95,83.4,Engineer,99.89,22,1,0,0,0,0,0
Male,General,88.3,85.8,68.6,Non-Engineer,86.24,0,0,0,0,0,1,0
Male,General,75.8,70,65,Engineer,71.3,26,0,0,0,0,0,0
Male,General,91.8,90.2,65.9,Engineer,99.44,25,0,0,0,0,0,0
Male,General,93.3,81.6,85.6,Engineer,98.88,35,0,0,0,0,1,1
Male,General,85.5,88,74.4,Engineer,97.97,0,0,0,0,0,0,0
Male,NC_OBC,97,95.2,74.4,Engineer,88.64,13,0,0,0,1,0,0
Male,General,93.1,89,69.5,Engineer,95.31,0,0,0,0,1,0,0
Male,NC_OBC,89.6,93.5,85.9,Engineer,92.9,25,0,0,0,0,0,1
Female,NC_OBC,80,90.1,63.3,Non-Engineer,84.84,16,0,0,0,0,1,0
Male,SC,75.3,70.3,65,Non-Engineer,87.59,0,0,0,0,0,1,1
Male,EWS,93.2,92.6,83.6,Engineer,98.82,13,0,1,0,0,1,1
Female,General,89.3,91.5,86.1,Non-Engineer,87.21,3,0,0,0,0,0,0
Male,General,95,75.2,98.1,Engineer,98.8,13,0,0,0,0,0,0
Female,General,90.3,88.8,80.2,Engineer,91.72,31,0,0,0,0,1,0
Male,General,80,80,80,Engineer,99.05,18,0,0,0,1,0,0
Male,General,93.2,94.7,80.4,Engineer,98.88,4,0,0,0,0,0,0
Male,NC_OBC,95,93.1,82.7,Engineer,94.31,12,0,0,0,0,1,0
Male,General,91.6,66.2,69.1,Engineer,87.57,0,0,0,0,0,0,0
Male,General,95,93,83,Engineer,99.8,18,1,1,0,1,0,0
Male,General,89.3,95.8,85.3,Engineer,99.44,13,0,0,0,0,0,0
Male,NC_OBC,83.6,79.5,72.4,Engineer,95.83,0,0,0,0,0,0,0
Male,NC_OBC,79.8,86,63.6,Engineer,74.7,10,0,0,0,0,0,0
Male,SC,87.4,70.3,55.9,Engineer,84.24,0,0,0,0,0,0,0
Male,General,93.1,86.8,63.2,Engineer,96.96,13,0,0,0,0,0,0
Male,NC_OBC,91.4,88.3,90.3,Engineer,99.32,13,1,1,1,0,1,0
Male,NC_OBC,81.6,85.2,90.1,Engineer,97.63,25,1,1,1,0,1,0
Female,General,92.2,97.7,91.8,Engineer,99.8,12,1,1,1,1,1,1
Male,General,95,93.8,89.2,Engineer,98.66,24,0,1,0,0,0,0
Female,General,94.7,89.4,73,Engineer,95.09,13,0,0,0,0,1,0
Male,General,93.1,92,82.7,Engineer,91.52,0,0,0,0,0,0,0
Female,General,87.4,93.4,73.2,Non-Engineer,85.64,12,0,0,0,0,0,0
Female,General,89.3,93.6,76.8,Non-Engineer,96.28,0,0,0,0,0,0,0
Female,General,95.7,96,87,Engineer,99.15,26,0,1,1,1,0,1
Male,General,76,60.3,57.2,Engineer,89.06,26,0,0,0,0,0,0
Male,General,79.8,83.8,72.8,Engineer,96.8,23,0,0,0,0,0,0
Male,General,87.4,80.2,68,Engineer,99.59,14,0,0,0,0,0,0
Male,General,84.5,77.6,76.5,Non-Engineer,97.11,0,0,0,0,0,0,0
Female,General,95,91.6,76.1,Engineer,98.39,13,0,0,0,1,0,0
Male,General,80.4,59.2,67.7,Non-Engineer,95.12,32,0,1,0,0,0,0
Male,NC_OBC,97.4,94.8,79.3,Engineer,93.6,25,0,1,0,1,1,0
Male,General,95,93.4,78.6,Engineer,93.85,17,0,0,0,0,0,0
Female,General,95,76.9,80.2,Non-Engineer,91.67,0,0,0,0,0,0,0
Male,NC_OBC,85.5,89,67,Non-Engineer,95.01,0,0,0,0,1,1,0
Female,NC_OBC,98.3,97,63.2,Engineer,76.25,24,0,0,0,0,1,0
Male,General,92,91.1,81.3,Engineer,99.88,0,1,1,1,1,1,1
Male,EWS,98,98.2,76.9,Engineer,99.89,0,1,0,0,0,1,0
Male,NC_OBC,96,90,80,Engineer,90.19,13,0,0,0,0,0,0
Female,General,95,97,75,Engineer,97.82,12,0,0,0,0,1,0
Male,EWS,95,84.2,84.5,Engineer,99.85,0,1,1,1,1,1,0
Male,NC_OBC,93.1,92.2,79.8,Engineer,98.24,78,0,0,0,0,0,0
Female,General,93.1,92,82.9,Non-Engineer,86.99,26,0,0,0,0,0,0
Male,General,82.3,86.4,86,Engineer,92.5,0,0,0,0,0,0,0
Male,ST,76,76,55,Engineer,87.83,0,0,0,1,0,0,1
Male,General,76,54.4,63.8,Non-Engineer,94.93,0,0,0,0,0,0,0
Male,General,79.8,83.7,78.6,Non-Engineer,88.7,0,0,0,0,0,0,0
Female,SC,88,84,65,Engineer,75.5,0,0,0,0,1,1,0
Male,General,87.8,85.8,80.8,Engineer,99.92,24,1,1,1,1,1,1
Female,General,89,88,70,Engineer,94.29,12,0,0,0,0,0,0
Male,General,93.1,94.8,73.6,Engineer,99.55,13,0,0,0,0,0,1
Female,General,81.6,81,57.1,Non-Engineer,97.85,9,0,0,0,0,0,0
Female,ST,94.2,80.8,68.1,Engineer,69.4,0,0,0,0,1,1,0
