gender,category,grade_10,grade_12,graduation_score,graduation_type,admission_test_score,work_exp_months,IIM_A,IIM_B,IIM_C,IIM_I,IIM_K,IIM_L
Male,NC_OBC,94,91.7,73.8,Engineer,78.48,3,0,0,0,0,0,0
Male,SC,81.5,83.6,62.3,Non-Engineer,81.09,0,0,0,0,0,0,0
Male,General,86.5,86.5,69,Engineer,99.61,41,0,0,0,0,0,1
Male,General,94,96,87.1,Engineer,99.06,4,1,1,1,1,1,1
Female,General,95,94,80,Non-Engineer,81.1,0,0,0,0,0,0,0
Male,General,90.6,85.7,82.6,Non-Engineer,87.01,0,0,0,0,0,0,0
Male,General,85.6,82.8,73.9,Non-Engineer,83.31,0,0,0,0,0,0,0
Male,ST,76,87,70,Non-Engineer,74,0,0,0,0,0,0,0
Male,General,93.1,93.6,83,Non-Engineer,98.31,0,0,0,0,0,1,0
Male,General,85.4,88.8,80.2,Engineer,93.23,13,0,0,0,0,0,0
Male,General,95,89.4,90.1,Engineer,99.76,38,1,1,1,1,0,1
Male,General,86.3,76.3,84.7,Engineer,78.08,19,0,0,0,0,0,0
Female,General,95,89,78.9,Non-Engineer,89.03,0,0,0,0,0,0,0
Male,NC_OBC,74,86.2,69.4,Non-Engineer,90.43,0,0,0,0,0,1,0
Female,General,85.5,83.4,88.7,Non-Engineer,89.61,0,0,0,0,0,0,0
Male,NC_OBC,79.7,70,66,Engineer,94.56,22,0,0,0,0,0,0
Male,General,95,94.4,83.6,Non-Engineer,98.99,0,1,0,0,1,1,0
Male,General,94.4,79.5,68.3,Engineer,80.91,23,0,0,0,0,0,0
Male,General,92.2,91.5,86.1,Engineer,99.86,13,1,1,1,1,1,1
Female,General,92,88.9,73.5,Non-Engineer,98.2,0,0,0,0,0,1,1
Female,General,89.3,90.2,82.5,Non-Engineer,95.19,0,0,0,0,1,0,0
Female,General,96,92.4,83.3,Non-Engineer,49.27,0,0,0,0,0,0,0
Female,General,88.6,89.4,62.3,Engineer,95.68,0,0,0,0,0,0,0
Male,SC,91,85.9,75.4,Engineer,88.1,13,0,1,1,1,1,1
Male,General,71.5,83,84.5,Engineer,98.42,24,0,0,0,0,0,0
Female,SC,96,81.5,90,Non-Engineer,84.11,0,1,0,0,0,0,0
Male,NC_OBC,79.3,73.5,70.3,Non-Engineer,87.01,24,0,0,0,0,0,0
Female,General,95,98.2,80.5,Non-Engineer,89.85,0,0,0,0,0,0,0
Male,General,95,96,80.8,Non-Engineer,99.67,0,1,0,1,1,1,1
Male,General,90.3,75.4,71.1,Non-Engineer,98.97,0,0,0,0,0,1,0
Male,General,89.2,79,77.4,Non-Engineer,92.64,0,0,0,0,0,0,0
Female,General,98.3,95.8,90.5,Engineer,91.85,37,0,1,0,1,0,0
Female,General,91.7,90.9,87.4,Engineer,99.56,13,0,1,1,1,1,1
Male,General,88.3,92.3,83.2,Engineer,98.21,12,0,0,0,0,0,0
Male,General,84.4,95.6,79.1,Engineer,90.4,12,0,0,0,0,0,0
Male,General,87.4,85.8,70,Engineer,96.41,22,0,0,0,0,0,0
Female,General,85.7,87.4,71,Non-Engineer,94.65,11,0,1,1,0,1,0
Male,General,95,77.7,84.3,Engineer,95.94,13,0,0,0,0,0,0
Female,EWS,92.6,91.7,79.1,Engineer,97.25,45,0,1,1,1,1,1
Female,NC_OBC,92.8,84.6,83.8,Engineer,97.03,15,0,1,1,1,1,1
Male,General,88.7,84.5,74.6,Non-Engineer,78.78,0,0,0,0,0,0,0
Male,General,87.4,89.2,74.5,Engineer,99.17,31,0,0,0,0,0,0
Male,General,91.2,87.6,78.3,Non-Engineer,91.02,0,0,0,0,0,0,0
Male,NC_OBC,91.2,89.4,78.3,Engineer,98.81,12,0,1,0,0,0,0
Male,NC_OBC,78,88,62,Engineer,96.66,0,0,0,0,0,1,1
Male,NC_OBC,89.7,89.6,64.5,Non-Engineer,77.02,0,0,0,0,0,0,0
Male,General,86.5,93.5,78.2,Engineer,91.57,26,0,0,0,0,0,0
Male,General,82.1,87.4,73.1,Engineer,99.7,24,0,0,0,0,0,0
Male,General,94.5,87,73.2,Engineer,98.92,35,0,0,0,0,0,0
Female,NC_OBC,95.4,81.1,72.6,Engineer,94.89,12,0,1,1,1,1,1
Female,General,97,98.2,79,Engineer,96.2,0,0,0,0,0,1,0
Male,General,96,79.6,76,Engineer,99.69,36,0,1,0,0,0,0
Male,General,98.7,97.8,85,Engineer,99.71,37,1,0,0,0,0,0
Male,General,87.6,78.8,73,Engineer,70.33,28,0,0,0,0,0,0
Male,General,86.3,77.9,75.2,Engineer,99.51,0,0,0,0,0,0,0
Male,General,93.1,95,70,Engineer,97.39,0,0,0,0,0,0,0
Male,General,89,74.3,84.3,Engineer,93.15,40,0,0,0,0,0,0
Female,General,83.9,83.8,76.5,Non-Engineer,92.52,0,0,0,0,0,0,0
Male,General,95,97.9,82.7,Engineer,98.53,13,0,0,0,0,0,0
Male,General,92.6,92.6,75.8,Engineer,99.79,25,1,1,1,1,1,1
Male,General,93.3,78.6,67.1,Engineer,94.57,0,0,0,0,0,0,0
Female,General,90.7,85.2,79,Engineer,98.75,6,0,0,0,0,1,0
Female,General,95,90,80,Engineer,97.16,12,0,0,0,0,1,0
Female,General,95,76.3,72.1,Engineer,86.73,17,0,0,0,0,0,0
Female,SC,89.7,83.1,74.9,Engineer,74.5,25,0,0,0,0,0,0
Male,General,91.6,82.8,76.7,Engineer,98.74,25,0,0,0,0,0,0
Male,General,93.1,90,77.1,Engineer,98.45,25,0,0,0,0,0,1
Male,General,91.3,92.8,76.1,Engineer,86.46,13,0,0,0,0,0,0
Female,NC_OBC,96,86.4,79,Engineer,86.52,12,0,0,0,0,1,0
Male,NC_OBC,95,85.4,63.1,Engineer,86.89,16,0,0,0,1,0,0
Male,General,85.2,78.2,58.6,Non-Engineer,93.97,0,0,0,0,0,0,0
Male,SC,88,77,75,Non-Engineer,70.87,0,0,0,0,0,0,0
Female,General,84,78.2,86,Non-Engineer,94.34,6,0,0,0,0,0,0
Female,General,95.8,92.2,87,Non-Engineer,94.03,0,0,0,0,0,0,0
Female,General,92.8,93.1,82,Non-Engineer,88.24,7,0,0,0,0,0,0
Male,General,83.8,59.3,57.2,Engineer,68.77,20,0,0,0,0,0,0
Male,General,95.4,93.8,79.5,Engineer,96.38,11,0,0,0,0,0,0
Male,General,94.2,95.8,75.6,Non-Engineer,95.79,2,0,0,0,0,1,0
Male,General,95,95.6,86.7,Non-Engineer,95.61,0,0,0,0,0,0,0
Female,General,96.8,92.2,77.8,Non-Engineer,88.58,0,0,0,0,0,0,0
Male,NC_OBC,91.7,96,87.3,Engineer,93.48,19,0,0,0,0,0,0
Male,General,79.8,87.6,65.5,Non-Engineer,93.26,0,0,0,0,0,0,0
Male,General,77.7,68.5,64,Non-Engineer,93.46,0,0,0,0,0,0,0
Male,General,85.5,88.4,84.8,Engineer,82.12,8,0,0,0,0,0,0
Male,General,87.8,89.5,71.8,Non-Engineer,97.8,22,0,0,0,0,1,0
Female,NC_OBC,92.7,85.6,78.3,Engineer,92.77,26,0,1,1,1,1,1
Female,General,85.5,93.8,78.3,Non-Engineer,94.1,0,0,0,0,0,0,1
Male,General,91.2,93,79.3,Engineer,98.37,25,0,0,0,0,0,0
Male,General,94.2,94.4,92.7,Engineer,97.89,12,0,0,0,0,0,0
Female,General,86.6,86.9,80,Non-Engineer,95.33,28,0,0,0,0,1,1
Female,General,89.2,62.5,71.6,Non-Engineer,72.8,0,0,0,0,0,0,0
Male,General,92.8,94,70,Engineer,99.9,0,0,0,1,1,0,0
Male,NC_OBC,95,92.6,86.3,Engineer,86.99,25,0,1,0,1,0,0
Male,General,85.5,86.6,74.1,Engineer,99.58,20,0,0,0,0,0,0
Female,General,94,90,79.4,Engineer,89.82,0,0,0,0,0,0,0
Male,NC_OBC,86,84,69,Engineer,86,0,0,0,0,0,0,0
Male,NC_OBC,95,78.5,70.1,Engineer,99.19,0,0,0,1,1,1,1
Male,General,91.8,91,81,Non-Engineer,99.58,0,1,1,0,0,1,1
Male,NC_OBC,94.7,90.2,51.5,Engineer,87.87,0,0,0,0,0,0,0
Female,General,95,93.4,73.8,Non-Engineer,70.41,0,0,0,0,0,0,0
Male,General,86.8,77.7,79.2,Non-Engineer,86.86,0,0,0,0,0,0,0
Male,General,93.9,79.4,70.1,Engineer,95.51,10,0,0,0,0,0,0
Male,General,93.1,90.5,83.4,Non-Engineer,93.82,3,0,0,0,0,0,0
